logo,url,category,name,description
https://www.voucherbox.co.uk/uploads/logos/bunches-flowers.jpg,https://www.voucherbox.co.uk/vouchers/bunches-flowers,flowers-and-gifts,Bunches,"Welcome to Bunches Flowers, the leading online florist for you to send flowers by post, luxury bouquets, luxury rose and helium balloons including UK delivery and free milk chocolates. Present your loved ones with a stunning bouquet of flowers today."
https://www.voucherbox.co.uk/uploads/logos/16-25-railcard.jpg,https://www.voucherbox.co.uk/vouchers/16-25-railcard,travel,16-25 Railcard,"Railway student fare - but cheaper! With 16-25 Railcard, railway travel in UK is simpler, cheaper and more organized. Intended for ages 16-25 and students aged over 25. A cheaper mode of travel for you to lower your education expenses.

 "
https://www.voucherbox.co.uk/uploads/logos/alibris.jpg,https://www.voucherbox.co.uk/vouchers/alibris,books-and-magazines,Alibris,"Great books and music - some of us need little more than that to have a happy life! At Alibris you&#39;ll find a solid collection of new and used books and music, for some of the lowest prices you&#39;ll find anywhere. Drop by for a visit and save!"
https://www.voucherbox.co.uk/uploads/logos/wiggle.jpg,https://www.voucherbox.co.uk/vouchers/wiggle,sports-and-outdoor,Wiggle,"Wiggle is store that stocks outdoor items to help you explore your environment in style and comfort. Whether you&#39;re looking to cycle, run, swim or train for the triathlon, they have you covered thanks to their affordable clothing and accessories.

 "
https://www.voucherbox.co.uk/uploads/logos/lenovo.jpg,https://www.voucherbox.co.uk/vouchers/lenovo,technology,Lenovo,"Lenovo is at the forefront of some of the world’s most well-known technology companies. Visit the online store now for technologically advanced laptops, netbooks, notebooks and tablets. Even workstations and servers are available online."
https://www.voucherbox.co.uk/uploads/logos/photobox.jpg,https://www.voucherbox.co.uk/vouchers/photobox,photography-and-print,Photobox,"If you are looking for online photo printing of your digital snapshots or would like to surprise someone with a unique photo gift, you will love what Photobox has to offer. From cards to wall décor and prints, you can let your imagination run wild."
https://www.voucherbox.co.uk/uploads/logos/ryman.jpg,https://www.voucherbox.co.uk/vouchers/ryman,flowers-and-gifts,Ryman,"Ryman is one of the UK&#39;s best stationery shops. The store specialises in things like diaries, various office supplies and even things like digital storage. You&#39;ll find everything you need for the office and for school at Ryman."
https://www.voucherbox.co.uk/uploads/logos/holiday-extras.jpg,https://www.voucherbox.co.uk/vouchers/holiday-extras,other,Holiday Extras,"Making holiday arrangements since 1983, Holiday Extras is now a leading pre-booked UK hotels and parking service provider. The 08/09 155 million Pounds turnover allowed them to expand their office at The Wave, Newingreen, Kent County, UK."
https://www.voucherbox.co.uk/uploads/logos/hewlett-packard.jpg,https://www.voucherbox.co.uk/vouchers/hp,office,HP,"HP has been one of the biggest names in the world of technology for a reason. Find your laptop, tablet, printer, PC&#39;s, moniters, and much, much more at HP! Also, if you&#39;re a student, you may find some great deals!"
https://www.voucherbox.co.uk/uploads/logos/warranty-wise.jpg,https://www.voucherbox.co.uk/vouchers/warranty-wise,other,Warranty Wise,"As the wise and intelligent person you are, you like to protect yourself from the problems that life tends to throw your way. You know that your vehicle is prone to damage - wrecks, natural disaster, and more. Visit Warranty Wise to cover your bases."
